,question,answers
0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos
1,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers
2,Where did Super Bowl 50 take place?,"Santa Clara, California"
3,Which NFL team won Super Bowl 50?,Denver Broncos
4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold
5,What was the theme of Super Bowl 50?,"""golden anniversary"""
6,What day was the game played on?,"February 7, 2016"
7,What is the AFC short for?,American Football Conference
8,What was the theme of Super Bowl 50?,"""golden anniversary"""
9,What does AFC stand for?,American Football Conference
10,What day was the Super Bowl played on?,"February 7, 2016"
11,Who won Super Bowl 50?,Denver Broncos
12,What venue did Super Bowl 50 take place in?,Levi's Stadium
13,What city did Super Bowl 50 take place in?,Santa Clara
14,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L
15,Super Bowl 50 decided the NFL champion for what season?,2015
16,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015
17,What city did Super Bowl 50 take place in?,Santa Clara
18,What stadium did Super Bowl 50 take place in?,Levi's Stadium
19,What was the final score of Super Bowl 50? ,24–10
20,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"
21,What year was Super Bowl 50?,2015
22,What team was the AFC champion?,Denver Broncos
23,What team was the NFC champion?,Carolina Panthers
24,Who won Super Bowl 50?,Denver Broncos
25,Super Bowl 50 determined the NFL champion for what season?,2015
26,Which team won Super Bowl 50.,Denver Broncos
27,Where was Super Bowl 50 held?,"Santa Clara, California."
28,The name of the NFL championship game is?,Super Bowl
29,What 2015 NFL team one the AFC playoff?,Denver Broncos
30,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton
31,How many appearances have the Denver Broncos made in the Super Bowl?,8
32,What year was the Carolina Panthers franchise founded?,1995
33,What team did the Panthers defeat?,Arizona Cardinals
34,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots
35,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals
36,Who lost to the Broncos in the AFC Championship?,New England Patriots
37,Who were the defending Super Bowl champions?,New England Patriots
38,How many teams have been in the Super Bowl eight times?,four
39,Who was this season's NFL MVP?,Cam Newton
40,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1
41,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton
42,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,12–4
43,How many teams have played in the Super Bowl eight times?,4
44,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots
45,Who is the quarterback for the Panthers?,Cam Newton
46,Who did Carolina beat in the NFC championship game?,Arizona Cardinals
47,How many times have the Panthers been in the Super Bowl?,2
48,Who did Denver beat in the AFC championship?,New England Patriots
49,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton
50,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots
51,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals
52,Who was the 2015 NFL MVP?,Cam Newton
53,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals
54,What year did the Carolina Panthers form?,1995.
55,Who was the Super Bowl 50 MVP?,Von Miller
56,How many fumbles did Von Miller force in Super Bowl 50?,2
57,Which team held the scoring lead throughout the entire game?,Broncos
58,Which Denver linebacker was named Super Bowl MVP?,linebacker Von Miller
59,How many solo tackles did Von Miller make at Super Bowl 50?,five solo tackles
60,Who was limited by Denver's defense?,Newton was limited by Denver's defense
61,How many times was Cam Newton sacked?,seven
62,Who won the Super Bowl MVP?,Von Miller
63,How many turnovers did Cam Newton have?,three
64,How many fumbles did Von Miller force?,two
65,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller
66,What position does Von Miller play for the Denver Broncos?,linebacker
67,What was the number of solo tackles that Von Miller had in Super Bowl 50?,5
68,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,2
69,Who won the MVP for the Super Bowl?,Von Miller
70,How many tackles did Von Miller get during the game?,5
71,How many times was Cam Newton sacked in Super Bowl 50?,seven
72,How many times did the Denver defense force Newton into turnovers?,three
73,Which Newton turnover resulted in seven points for Denver?,a fumble
74,Who was the Most Valuable Player of Super Bowl 50?,Von Miller
75,What position does Von Miller play?,linebacker
76,How many times was the Panthers' quarterback sacked?,seven
77,How many times did the Broncos cause turnovers in the game?,three
78,What Denver player caused two fumbles for the Panthers?,Von Miller
79,How many tackles did Von Miller accomlish by himself in the game?,five
80,Which network broadcasted Super Bowl 50 in the U.S.?,CBS
81,What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million
82,Which group headlined the Super Bowl 50 halftime show?,Coldplay
83,Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars
84,At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII
85,Who was the broadcaster for Super Bowl 50 in the United States?,CBS
86,What was the average cost of a 30-second commercial?,$5 million
87,What halftime performer previously headlined Super Bowl XLVII?,Beyoncé
88,What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars
89,Who was the main performer at this year's halftime show?,Coldplay
90,Which network broadcasted the 50th Super Bowl game? ,CBS
91,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million
92,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars
93,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third
94,What station aired the Super Bowl?,CBS
95,How much money did a 1/2 minute commercial cost?,$5 million
96,What band headlined half-time during Super Bowl 50?,Coldplay
97,What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars
98,Who broadcast the Super Bowl on TV?,CBS
99,Who headlined the halftime show for Super Bowl 50?,Coldplay
100,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars
101,Which Super Bowl halftime show did Beyoncé headline?,Super Bowl XLVII
102,What was the cost for a half minute ad?,$5 million
103,Who lead the Super Bowl 50 halftime performance?,Coldplay
104,What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars
105,What performer lead the Super Bowl XLVIII halftime show?,Bruno Mars
106,Who was the NFL Commissioner in early 2012?,Roger Goodell
107,Which Super Bowl did Roger Goodell speak about?,the 50th Super Bowl
108,In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,2012
109,Who is the Commissioner of the National Football League?,Roger Goodell
110,When did he make the quoted remarks about Super Bowl 50?,early 2012
111,Who was the commissioner of the NFL in 2012? ,Roger Goodell
112,Who if the commissioner of the NFL?,Roger Goodell
113,Who is the commissioner of the NFL?,Roger Goodell
114,"In early 2012, Goodell said that Super Bowl 50 would be what?",spectacular
115,What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,spectacular
116,"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?",2012
117,Which Louisiana venue was one of three considered for Super Bowl 50?,New Orleans' Mercedes-Benz Superdome
118,Which Florida venue was one of three considered for Super Bowl 50?,Miami's Sun Life Stadium
119,Which California venue was one of three considered for Super Bowl 50?,San Francisco Bay Area's Levi's Stadium
120,What venue in Miami was a candidate for the site of Super Bowl 50?,Sun Life Stadium
121,What site is located in the San Francisco Bay Area?,Levi's Stadium
122,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium
123,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome
124,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium
125,What three stadiums did the NFL decide between for the game?,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium"
126,How many sites did the NFL narrow down Super Bowl 50's location to?,three
127,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans
128,What is the name of the stadium in Miami that was considered?,Sun Life Stadium
129,What was the third city that was considered?,San Francisco
130,What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.
131,What Florida stadium was considered for Super Bowl 50?,Sun Life Stadium
132,What New Orleans stadium was considered for Super Bowl 50?,Mercedes-Benz Superdome
133,What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.
134,When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012"
135,How many times has the South Florida/Miami area hosted the Super Bowl?,10
136,What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV
137,When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010
138,When did the San Francisco Bay area last host the Super Bowl?,1985
139,What was the other finalist besides Levi's Stadium?,Sun Life Stadium
140,When were the finalists announced?,"October 16, 2012"
141,In what venue did Super Bowl XIX take place?,Stanford Stadium
142,On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013"
143,In what year was the Super Bowl last held in the Miami/South Florida area?,2010
144,How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two
145,What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV
146,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two
147,What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature
148,"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985
149,What other city has hosted the Super Bowl ten times?,New Orleans
150,What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012"
151,How many times prios has the Sun Life Stadium had Super Bowls?,10.
152,What city is tied with Miami for hosting the Super Bowl?,New Orleans
153,When was the last time San Francisco hosted a Super Bowl?,1985
154,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature
155,When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013"
156,Who voted on the venue for Super Bowl 50?,NFL owners
157,When did Lev's Stadium open?,2014
158,How much did it cost to build Levi's Stadium?,$1.2 billion
159,What California city last hosted the Super Bowl?,San Diego
160,Where did the spring meetings of the NFL owners take place?,Boston
161,On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013"
162,How much did it cost to build Levi's Stadium?,$1.2 billion
163,"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII
164,In what city did the last Super Bowl in California occur?,San Diego
165,What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013
166,When did Levi's stadium open to the public? ,2014
167,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion
168,"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985
169,Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII
170,When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013"
171,When did Levi's Stadium open?,2014
172,When was the last Super Bowl in California?,2003
173,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston
174,When was Levi's Stadium picked for Super bowl 50?,"May 21, 2013"
175,When did Levi's Stadium open?,2014.
176,How much did Levi's Stadium cost?,$1.2 billion
177,When was the last time California hosted a Super Bowl?,2003.
178,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox
179,How many NFL teams have finished the regular season with one loss?,ten
180,How many NFL teams have gone 15-1 in one season?,six
181,Which team in Super Bowl 50 had a 15-1 record?,Carolina Panthers
182,What was the last Super Bowl the Broncos participated in?,Super Bowl XLVIII
183,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox
184,What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,eight
185,How many NFL teams have had only one loss by the end of a regular season?,ten
186,What was the first Super Bowl that the Carolina Panthers played in? ,Super Bowl XXXVIII
187,How many teams can boast a 15–1 regular season record?,six
188,What seed was the Carolina Panthers?,number one
189,What seed was the Denver Broncos?,number one
190,"Prior to Super Bowl 50, when were the Broncos last there?",Super Bowl XLVIII
191,"Prior to Super Bowl 50, when were the Carolina Panthers last there?",Super Bowl XXXVIII.
192,How many teams have had a 15-1 record for the regular season?,six
193,How many games did the Panthers lose in the regular season before Super Bowl 50?,one
194,How many teams up to Super Bowl 50 have been to the championship game eight times?,four
195,"Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?",John Fox
196,Whic Carolina Panthers running back was waived?,DeAngelo Williams
197,Which Carolina Panthers wide receiver suffered a torn ACL before the season began?,Kelvin Benjamin
198,How many teams have won 15 regular season games since the 16-game schedule was adopted?,7
199,In what year did the NFL switch to a 16-game regular season?,1978
200,Who had the best record in the NFC?,Carolina Panthers
201,How many Panthers went to the Pro Bowl?,Ten
202,How many Panthers were designated All-Pro?,eight
203,What Panther tore his ACL in the preseason?,Kelvin Benjamin
204,What year did the league begin having schedules with 16 games in them?,1978
205,What year did the the Saints hit a 13-0 record?,2009
206,When did the Packers arrive at a record of 13-0?,2011
207,What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?,torn ACL
208,Which player did the Panthers lose to an ACL injury in a preseason game?,Kelvin Benjamin
209,Which running back did the Panthers waive?,DeAngelo Williams
210,When did the NFL start their 16 game seasons?,1978
211,How many Panthers players were selected to the Pro Bowl?,Ten
212,Which team had the best regular season in their history?,Carolina Panthers
213,When did the league go from 15 to 16 games in the regular season?,1978.
214,What team had the best start ever in the NFL?,Carolina Panthers
215,How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten
216,How many Pro Bowlers were on the Panthers offense?,six
217,How many total touchdowns did Cam Newton score?,45
218,How many interceptions did Cam Newton throw?,10
219,How many punts did Ted Ginn Jr. return?,27
220,Who started at tight end for the Panthers?,Greg Olsen
221,What is the record number of touchdowns Cam Newton has had? ,45
222,What is the best QB ranking that Cam Newton holds?,99.4
223,What are the most passes that Greg Olsen has had?,77 passes
224,What position does Jerricho Cotchery play?,receivers
225,Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?,Jonathan Stewart
226,How many Offensive players from the Panthers were selected to play in the Pro Bowl?,six
227,Who is the quarterback for the Carolina Panthers?,Cam Newton
228,How many yards did Newton throw for in 2015?,"3,837"
229,How many touchdowns did Newton have in 2015?,45
230,How many touchdowns did Jonathan Stewart have in 13 games?,six
231,How many points did Carolina lead the NFL in scoring for offensive plays?,500
232,how many yards did Newton get for passes in the 2015 season?,"3,837"
233,How many touchdowns did Newton get in the 2015 season?,45
234,What was Newton's quarterback rating for 2015?,99.4.
235,How many receptions did Cotchery  get for the 2015 season?,39
236,How many points did the Panthers defense surrender?,308
237,How many career sacks did Jared Allen have?,136
238,How many tackles did Luke Kuechly register?,118
239,How many balls did Josh Norman intercept?,four
240,Who registered the most sacks on the team this season?,Kawann Short
241,How many interceptions are the Panthers defense credited with in 2015?,24
242,Who led the Panthers in sacks?,Kawann Short
243,How many Panthers defense players were selected for the Pro Bowl?,four
244,How many forced fumbles did Thomas Davis have?,four
245,Which player had the most interceptions for the season?,Kurt Coleman
246,How many 2015 season interceptions did the Panthers' defense get?,24
247,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy
248,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.
249,How many interceptions did Josh Norman score touchdowns with in 2015?,two.
250,Who is the head coach of the Broncos?,Gary Kubiak
251,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler
252,Who did Peyton Manning play for as a rookie?,Indianapolis Colts
253,Who did the Broncos play in the last week of the regular season?,San Diego Chargers
254,Who is Denver's defensive coordinator?,Wade Phillips
255,How many years was John Fox the head coach of the Denver Broncos?,four
256,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak
257,What was the first team Peyton Manning began playing for?,Indianapolis Colts
258,How old was Peyton Manning in 2015?,39
259,"In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?",plantar fasciitis
260,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak
261,Who was the quarterback for the Broncos 2015 season?,Peyton Manning
262,What injury did Manning suffer the summer before the season started?,a plantar fasciitis injury
263,How old was Manning at the beginning of the 2015 season?,39
264,How many games did the Broncos lose during their regular 2015 season?,four
265,What coach left the Broncos after the season prior to Super Bowl 50?,John Fox
266,"According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?",Peyton Manning
267,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak
268,What foot was injured on Manning that sidelined him in week 10?,left foot.
269,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips
270,What was Peyton Manning's passer rating for the season?,67.9
271,How many picks did Peyton Manning throw in the season?,17
272,Who registered the most receptions on the Broncos?,Demaryius Thomas
273,Who had the most rushing yards on the Broncos?,C. J. Anderson
274,How many touchdowns did Brock Osweiler throw in the season?,10
275,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9
276,How may yards did Peyton Manning throw?,"2,249"
277,What was the number of 17 interceptions that Peyton Manning had by end of the year?,nine
278,Who had the most receptions out of all players for the year?,Demaryius Thomas
279,What position does Demaryius Thomas play?,receiver
280,What was Manning's passer rating at the end of the season?,67.9
281,How many times was Manning intercepted during the 2015 season?,17
282,Who led the Broncos with 105 receptions?,Demaryius Thomas
283,How many touchdowns did Ronnie Hillman make?,5
284,What was Manning's passer rating for the 2015 season?,67.9
285,How many interceptions did manning have in 2015?,17
286,What Denver player caught the ball 76 times in the 2015 season?,Emmanuel Sanders
287,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson
288,What was Ronnie Hillman's average yards per carry in 2015?,4.7
289,How many yards did the Broncos' defense give up?,"4,530"
290,How many sacks did Derek Wolfe register?,5½
291,Who was first on the team in total tackles?,Brandon Marshall
292,How many picks did Aqib Talib have?,three
293,What position does DeMarcus currently play? ,Linebacker
294,What position does Brandon Marshall currently play? ,Linebacker
295,What is the position Derek Wolfe plays currently? ,Defensive ends
296,How many points did the Broncos defense allow their opponents to get?,296
297,Which linebacker had the most sacks on the team?,Von Miller
298,Which linebacker led the Broncos in tackles?,Brandon Marshall
299,How many interceptions did Aqib Talib have for the regular season?,three.
300,Who forced four fumbles for the Broncos in the 2015 season?,Von Miller
301,What Denver player had 109 tackels for the 2015 season?,Linebacker Brandon Marshall
302,What two Denver players ranked at 5 percent for sacks?,Derek Wolfe and Malik Jackson
303,Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks
304,Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals
305,How many total yards did the Panthers have in the NFC Championship?,487
306,How many times did Arizona turn the ball over in the NFC Championship?,seven
307,What was the final score of the game between the Panthers and the Seahawks?,31–24
308,What was the team the Carolina Panthers played immediately prior to the NFC Championship game? ,Seattle Seahawks
309,What was the score of the last game the Carolina Panthers played prior to the NFC Championship?,31–24
310,How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?,487
311,Who did Carolina beat in the divisional round?,Seattle Seahawks
312,Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals
313,How many turnovers did the Panthers force during the NFC Championship game?,seven
314,Who did the Panthers beat in the divisional round?,Seattle Seahawks
315,What was the score for the 2015 NFC championship game?,49–15
316,Who did the Panthers play in their division championship game?,Arizona Cardinals
317,How many yards did the Panthers get for the division championshipt game?,487
318,Who lost to the Broncos in the divisional round?,Pittsburgh Steelers
319,How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?,11
320,Who won Super Bowl XLIX?,New England Patriots
321,What was the final score of the AFC Championship Game?,20–18
322,How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?,17 seconds
323,What team was the divisional round winner between the Broncos and Steelers?,Broncos
324,What was the final score of the game between the Broncos and Steelers?,23–16
325,Who won Super Bowl XLIX?,New England Patriots
326,How many seconds were left in the game when the Broncos intercepted the pass that won the game?,17
327,"During the Bronco's playoff games, who did not throw at all?",Manning
328,Who did the Broncos beat in the divisional game?,Pittsburgh Steelers
329,How many points did the Broncos score in the final three minutes of the Pittsburgh game?,11
330,Who did the Broncos defeat in the AFC Championship game?,New England Patriots
331,Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers
332,Who did the Broncos beat tp become the AFC champions?,New England Patriots
333,How many seconds were left in the game when the Patriots failed their 2-point conversion?,17
334,What Carolina player was injured in the NFC Championship Game?,Thomas Davis
335,What injury did Thomas Davis suffer in the NFC Championship?,a broken arm
336,How many times had Thomas Davis torn his ACL in his career?,three
337,How many years has Thomas Davis played in the NFL?,11
338,"What injury did Thomas Davis suffer from repeatedly, for a total of three times, during his career?",ACL tears
339,What body part did Thomas Davis break during the NFC Championship Game?,arm
340,How many years has Thomas Davis played in the NFL?,11
341,"What game did Thomas Davis say he would play in, despite breaking a bone earlier on?",Super Bowl
342,How many ACL injuries has Thomas Davis had during his career?,three
343,What injury did Thomas Davis suffer during the playoff games?,broken arm
344,How many years had Thomas Davis played in the league when he broke his arm during the NFC Championship game?,11
345,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis
346,How old was Peyton Manning when he played in Super Bowl 50?,39
347,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway
348,How old was John Elway when he played in Super Bowl XXXIII?,38
349,What role does John Elway currently have in the Broncos franchise?,Executive Vice President of Football Operations and General Manager
350,Who did John Elway play for in Super Bowl XXXIII?,Broncos
351,What team was the winner of Super Bowl XXXIII?,Broncos
352,Who is the General Manager for the Broncos?,John Elway
353,How old was Elway during his Super Bowl XXXIII win?,38
354,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning
355,"How many teams has Manning played for that reached the Super Bowl, while he was on their team?",two
356,Peyton Manning took how many different teams to the Super Bowl?,two
357,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning
358,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway
359,Which Super Bowl did Elway win at 38 years old?,Super Bowl XXXIII
360,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning
361,How old was Manning when he played Super Bowl 50?,39.
362,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway
363,When was Manning picked #1 in the NFL Draft?,1998
364,When was Newton the first selection in the NFL Draft?,2011
365,How old was Newton during Super Bowl 50?,26
366,How much older was Manning than Newton during Super Bowl 50?,13 years and 48 days
367,Who was the #2 pick in the 2011 NFL Draft?,Von Miller
368,Who was considered to be the first choice in the NFL draft of 1998?,Manning
369,"In 2011, who was the first player to be chosen in the NFL draft?",Newton
370,How old was Newton during Super Bowl 50?,26
371,What position did Newton play during Super Bowl 50?,quarterback
372,Manning was the number one pick in which draft?,1998
373,Newton was the number one pick in which draft?,2011
374,Who was the number two draft pick for 2011?,Von Miller
375,What year did Newton hold the number one draft pick position?,2011.
376,How old was Newton in Super Bowl 50?,26
377,What was the age difference between Newton and Manning in Super Bowl 50?,13 years and 48 days
378,In what Super Bowl did Rivera play?,Super Bowl XX
379,What team did Rivera play for in Super Bowl XX?,Chicago Bears
380,What position did Rivera play in Super Bowl XX?,linebacker
381,Who was replaced by Kubiak in Super Bowl XXIV?,Elway
382,What team did Kubiak play for in Super Bowl XXI?,Broncos
383,What position did Rivera play in Super Bowl XX? ,linebacker
384,Who did Kubiak take the place of after Super Bowl XXIV?,Elway
385,Who was the Panthers head coach for the 2015 season?,Rivera
386,What Super Bowl did Rivera play in as a player?,Super Bowl XX
387,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker
388,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419
389,Who is the field director of the NFL?,Ed Mangan
390,What team did Justin Tucker play for?,Baltimore Ravens
391,What position did Justin Tucker play?,kicker
392,Which player did the turf collapse under during a game in the Levi's Stadium?,Justin Tucker
393,What position does Tucker play for with the Ravens?,kicker
394,What was used to sod the Levi's Stadium for Super Bowl 50? ,hybrid Bermuda 419 turf
395,"Which kicker had a portion of the turf collapse, causing him to miss a field goal?",Justin Tucker
396,What did the NFL do to the playing field at Levi's Stadium before the Super Bowl?,a new playing surface
397,What covered the new field at Levi's Stadium?,a hybrid Bermuda 419 turf.
398,What did a lot of players need to change during Super Bowl 50 because of the condition of the field?,their cleats
399,What player did the field problem at Levi's stadium affect for a field goal in week six of the regular season?,Justin Tucker
400,What field type is usually chosen for Super Bowl games?,natural grass
401,Who was designated as the home team in the Super Bowl?,Broncos
402,What was the final score of Super Bowl XXXIII?,34–19
403,What team lost Super Bowl XXXIII?,Atlanta Falcons
404,What color pants did the Broncos wear in Super Bowl 50?,white
405,What was Elway's final game as the Denver quarterback?,Super Bowl XXXIII
406,What was the last game that Elway played as a quarterback for Denver?,Super Bowl XXXIII
407,What was the final score for Super Bowl XXXIII?,34–19
408,What team did the Denver Broncos play in  Super Bowl XXXIII?,Atlanta Falcons
409,What color were the Bronco's uniforms in Super Bowl 50?,white
410,What jersey did the Broncos wear for Super Bowl 50?,road white jerseys
411,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers
412,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII
413,What was the color of the jerseys in Super Bowl XXXII when Elway was quarterback?,blue
414,What color jersey has Denver 0-4?,orange
415,"Since Denver chose white, what colors did Carolina wear in Super Bowl 50?",black jerseys with silver pants.
416,At what university's facility did the Panthers practice?,San Jose State
417,At what university's facility did the Broncos practice?,Stanford University
418,In what city's Marriott did the Panthers stay?,San Jose
419,In what city's Marriott did the Broncos stay?,Santa Clara
420,What hotel did the Panthers stay in during Super Bowl 50? ,San Jose Marriott
421,What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,Santa Clara Marriott
