,question,answers
422,Where did the Panthers practice at for Super Bowl 50?,San Jose State practice facility
423,Where did the Broncos practice at for Super Bowl 50?,Stanford University
424,Where did the Panthers practice for the Super Bowl?,San Jose State practice facility
425,Which hotel did the Panthers stay at for the Super Bowl?,San Jose Marriott.
426,Where did the Broncos practice for the Super Bowl?,Stanford University
427,Which hotel did the Broncos use for Super Bowl 50?,Santa Clara Marriott.
428,Where was the practice place the Panthers used for the Super Bowl?,San Jose
429,Where hotel did the Panthers stay at?,San Jose Marriott.
430,Where did the Broncos practice for the Super Bowl?,Stanford University
431,Where did the Broncos stay at for Super Bowl 50?,Santa Clara Marriott.
432,When did the NFL announce the suspension of using Roman numerals to brand the Super Bowl?,"June 4, 2014"
433,What was the first Super Bowl branded with Roman numerals?,Super Bowl V
434,Who is the NFL's vice president of brand and creative?,Jaime Weston
435,What was the first Super Bowl to use the standardized logo template?,Super Bowl XLV
436,Who is the trophy featured on the logo named for?,Vince Lombardi
437,In what year was it declared that no Roman numerals would be used in the name of the 50th Super Bowl?,2014
438,"Which Super Bowl, after the 50th one, will begin have Roman numerals in the title again?",Super Bowl LI
439,"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",L
440,What color are the numbers in the Super Bowl 50 logo? ,gold
441,When did the NFL announce that it would not use Roman numbers to designate the Super Bowl number?,"June 4, 2014"
442,"Rather than Roman numerals, what did the NFL decide to use?",Arabic numerals
443,What is the Roman numeral for 50?,L.
444,"Normally silver, what color was used for the number 50?",gold
445,When will Roman numerals be used again to denote the Super Bowl number?,Super Bowl LI.
446,What type of numeral did the latest Super Bowl use to designate the game number?,Arabic
447,What is the Roman numeral going to be for Super Bowl 51?,LI.
448,What color was featured in promotions related to Super Bowl 50?,gold
449,When did sideline jackets and hats start to feature gold-trimmed logos?,week 7
450,What yard marker on the field was painted gold?,50
451,What color was used to create the 50-yard line in Levi's Stadium for the season leading up to the Super Bowl 50 game?,gold
452,"What color were the footballs handed out to a variety of high schools, leading up to Super Bowl 50?",gold
453,"Because of the gold theme, what was Super Bowl 50 known as?",Golden Super Bowl
454,What was given to high schools where former students went on to play or coach in a Super Bowl?,Gold footballs
455,What yard line was a gold color for all teams during the season?,the 50-yard line
456,"Since this was the 50th one, what was the theme color for the Super Bowl?",gold
457,In what venue did the NFL Experience take place?,Moscone Center
458,In what city is the Moscone Center located?,San Francisco
459,Who is the mayor of San Francisco?,Ed Lee
460,Who is the city supervisor of San Francisco?,Jane Kim
461,"When was the opening of ""Super Bowl City""?",January 30
462,How many people were estimated to go to the different game-themed events during the week prior to Super Bowl 50 in the city it was held in?,1 million
463,Who was the mayor of San Francisco during Super Bowl 50? ,Ed Lee
464,Which building was the NFL Experience held at for Super Bowl 50?,Moscone Center
465,What was the name of the event at the The Embarcadero that was held prior to Super Bowl 50 to help show off some of the things that San Francisco has to offer?,Super Bowl City
466,Where was the NFL Experience held for the 2015 season?,Moscone Center
467,What opened on January 30th at the Justin Herman plaza?,Super Bowl City
468,Who is the mayor of San Francisco?,Ed Lee
469,What football associated thing started at Justin Herman Plaza in January?,Super Bowl City
470,How many people are likely to visit Justin Herman Plaza during the week of the Super Bowl?,More than 1 million
471,Who said the homeless in the area would have to leave?,mayor Ed Lee
472,How much did San Francisco get for providing services for the Super Bowl?,$5 million.
473,What did the Moscone Center host?,The annual NFL Experience
474,At what university is Bellomy Field located?,Santa Clara University
475,How much money is being spent on other Super Bowl-related events?,$2 million
476,How long will the event at Santa Clara Convention Center last?,a week
477,How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?,$2 million
478,What type of rally was held?,pep rally
479,"Which government entity helped to pay for the festivities, beyond businesses and individuals?",city council
480,"Where was a beer, wine and food festival held at prior to the Super Bowl?",Bellomy Field
481,Who helped find sponsors and donors to help with the cost?,A professional fundraiser
482,Who set aside seed funding for the week-long event leading up to the Super Bowl?,city council
483,What was the cost of the other Super Bowl events in the San Francisco area?,$2 million
484,Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?,city council
485,On what day was Super Bowl Opening Night held?,Monday
486,On what day does the Super Bowl media day traditionally take place?,Tuesday
487,What venue hosted Super Bowl Opening Night?,SAP Center
488,In what city is SAP Center located?,San Jose
489,A replica of what landmark was present at Super Bowl Opening Night?,the Golden Gate Bridge
490,"As a norm, what day of the week is the traditional Media Day held prior to a Super Bowl?",Tuesday
491,What day of the week was Media Day held on for Super Bowl 50?,Monday
492,What was the name of the Media Day event for Super Bowl 50?,Super Bowl Opening Night
493,What is the name of the property where the media event was held for Super Bowl 50?,SAP Center
494,What city was the media event held for Super Bowl 50?,San Jose
495,When is the game's media day usually held?,the Tuesday afternoon prior to the game
496,What new name was given to the media day?,Super Bowl Opening Night.
497,Where was media day for Super Bowl 50 held?,SAP Center in San Jose.
498,What replica was used for player introductions?,the Golden Gate Bridge.
499,What day was Super Bowl 50 media day switched to?,Monday
500,What was media day called for Super Bowl 50?,Super Bowl Opening Night.
501,Where was the new media day event for Super Bowl 50 held?,SAP Center in San Jose.
502,What bridge had a model of it at the Super Bowl Opening Night?,Golden Gate Bridge.
503,What date was Super Bowl Opening Night held?,"February 1, 2016"
504,What is the name of the program that provides contracting work to local companies?,Business Connect
505,How much money has been raised by the host committee?,$40 million
506,What health company was a Super Bowl sponsor?,Dignity Health
507,What clothing company was a Super Bowl sponsor?,Gap
508,What petroleum company was a Super Bowl sponsor?,Chevron
509,"Which committee made an effort to invite companies owned by people, who are transgender or gay, to take part in contract business associated with Super Bowl 50.",Super Bowl 50 Host Committee
510,How much money did the committee raise?,over $40 million
511,How did the committee raise the money?,sponsors
512,What is the Super Bowl program called that gives local companies business opportunities for the Super Bowl?,Business Connect
513,What is the name of the service that gets local businesses contract chances with the Super Bowl?,Business Connect
514,"According to the text, how much money did the Host Committee raise?",over $40 million
515,What percentage of money raised by the Host Committee will be used for charitable causes?,25
516,What is the name of the Host Committee's charitable initiative?,the 50 fund
517,What percentage of funds were given as charitable funds to causes in and around San Francisco?,25 percent
518,What was the name of the fund setup to help with investing in the community? ,50 fund
519,The Super Bowl 50 Host Committee said it would be the most what ever?,the most giving Super Bowl ever
520,How many will the host committee dedicate to local charities?,25 percent
521,"What is the name of the fund that focuses on youth, community and sustainable environments?",the 50 fund
522,What percentage of money raised was earmarked for causes in the San Francisco area?,25 percent
523,What was the name of the work to give grants for youth development and other things?,50 fund
524,Who is the trophy given to the Super Bowl champion named for?,Vince Lombardi
525,"The ""50"" given to the Super Bowl winner is plated with how many karats of gold?",18
526,"What will the ""50"" given to the Super Bowl winner weigh in pounds?",66
527,"Who designed the ""50""?",Tiffany & Co.
528,Who designed the Vince Lombardi Trophy?,Tiffany & Co.
529,What is the name of the trophy given to anyone who plays on the winning team in a Super Bowl?,Vince Lombardi Trophy
530,"What will the number ""50"" be plated with? ",18-karat gold-plated
531,"Who is the designer of the ""50?""",Tiffany & Co
532,What is the name of the trophy that all Super Bowl winners receive?,the Vince Lombardi Trophy
533,"Who designs both the ""50"" as well as the Trophy?",Tiffany & Co.
534,On what television station could an American viewer watch the game?,CBS
535,"Who, with Jim Nantz, was a member of the game's lead broadcast team?",Phil Simms
536,Who shared sideline duties with Evan Washburn?,Tracy Wolfson
537,How many cameras did EyeVision 360 utilize?,36
538,What was the resolution of the cameras used in the EyeVision 360 system?,5K
539,"How many different TV networks are considered to be the principal partners, when it comes to broadcasting NFL events?",three
540,Where was Tracy Wolfson announcing from during the Super Bowl 50 game?,sidelines
541,"New cameras were introduced for the game, what degree of view do they provide viewers?",360-degree
542,What resolution were the cameras increased to for the game?,5K resolution
543,Where was Evan Washburn located while announcing during the game?,sidelines
544,Which television network aired the Super Bowl?,CBS
545,How many broadcast television partners does the NFL have?,three
546,What network aired Super Bowl 50?,CBS
547,Who were the announcers of Super Bowl 50?,Jim Nantz and Phil Simms
548,Who were the Super Bowl 50 sideline announcers?,Tracy Wolfson and Evan Washburn
549,What resolution were the Eyevision cameras changed to?,5K
550,What was put on pylons for Super Bowl 50?,cameras
551,Which network broadcast the game in Spanish?,ESPN Deportes
552,Who reported on the sideline for ESPN Deportes?,John Sutcliffe
553,Who provided Spanish-language commentary alongside Raul Allegre?,Alvaro Martin
554,On what date did ESPN Deportes announce their deal with CBS and the NFL?,"December 28, 2015"
555,In what language did ESPN Deportes broadcast the game?,Spanish
556,Which TV network broadcasted Super Bowl 50 in Spanish?,CBS
557,Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes
558,Who was the sideline reporter for ESPN Deportes?,John Sutcliffe.
559,What agency did the Spanish version of the Super Bowl?,ESPN Deportes
560,Who were the ESPN Deportes commentators for Super Bowl 50?,Alvaro Martin and Raul Allegre
561,Who was the ESPN Deportes sideline commentator for Super Bowl 50?,John Sutcliffe.
562,What service did Verizon customers need to use to stream the game on their smartphones?,NFL Mobile
563,On what service could the ESPN Deportes broadcast be streamed?,WatchESPN
564,What CBS website provided a stream?,CBSSports.com
565,On what game console was the CBS Sports app available?,Xbox One
566,What version of Windows supported the CBS sports app?,10
567,What was the domain name of the site that streamed the Super Bowl 50 game? ,CBSSports.com
568,Which game console could viewers stream the game on? ,Xbox One
569,Which smartphone customers were the only people who could stream the game on their phones?,Verizon Wireless customers
570,What app did viewers use to watch the game on their smartphones? ,NFL Mobile service
571,Which wireless company had exclusive streaming rights on mobile phones?,Verizon
572,Which mobile service were Verizon customers able to watch Super Bowl 50 on their phones?,NFL Mobile service.
573,"What did CBS provide of the Super Bowl 50 broadcast for its website, some apps and media players?",digital streams of the game
574,What cellular carrier had the only contract for the Super Bowl to be shown on smartphones?,Verizon
575,Where was the ESPN Deportes Spanish version of Super Bowl 50 available?,WatchESPN.
576,What talk show followed immediately after Super Bowl 50 on CBS?,The Late Show with Stephen Colbert
577,What show aired on CBS after late local programming?,The Late Late Show with James Corden
578,Which late night comedy host show played immediately after Super Bowl 50 ended?,The Late Show with Stephen Colbert
579,"What other CBS talk show played, after the main one that began immediately after Super Bowl 50?",The Late Late Show with James Corden
580,What CBS show followed the Super Bowl?,The Late Show with Stephen Colbert
581,What followed The Late Show with Stephen Colbert?,late local programming
582,What followed the late local programming after Super Bowl 50?,The Late Late Show with James Corden.
583,What was the base rate for a 30-second ad during Super Bowl 50?,"$5,000,000"
584,What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev
585,"What brand sponsored the ""Crash the Super Bowl"" contest?",Doritos
586,What anniversary of the Pokémon franchise was celebrated during the Super Bowl?,20th
587,What was the starting cost for a TV commercial lasting 30 seconds and airing during Super Bowl 50?,"$5,000,000"
588,Which company was given permission to air TV commercials during Super Bowl 50 at a discounted price?,Anheuser-Busch InBev
589,Which company held a contest whereupon contestants could enter for a chance to have their own commercial shown during Super Bowl 50?,Doritos
590,Which video gaming company debuted their ad for the first time during Super Bowl 50?,Nintendo
591,Who made their Super Bowl commercial debut with Nintendo?,The Pokémon Company
592,Which company has been able to air multiple ads at a steep discount?,Anheuser-Busch InBev
593,Which company has held contests for fans to  create their own ad for the company?,Doritos
594,What company was in its last year for getting Super Bowl commercials at a big discount?,Anheuser-Busch InBev
595,What company was this the last Super Bowl they would let customers have an opportunity to get their own commercial ideas aired?,Doritos
596,What was the Doritos customer Super Bowl ad campaign called?,Crash the Super Bowl
597,What was the name of the contest sponsored by QuickBooks?,"""Small Business Big Game"""
598,What company won a free advertisement due to the QuickBooks contest?,Death Wish Coffee
599,How long was the Death Wish Coffee commercial?,30-second
600,"Besides Death Wish Coffee, how many other competitors participated in the contest?",nine
601,Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee
602,"How many other contestants did the company, that had their ad shown for free, beat out?",nine
603,"Which company sponsored a contest called ""Small Business Big Game""?",QuickBooks.
604,Which company had a commercial aired for free as a result of the Quickbooks contest?,Death Wish Coffee
605,How many companies were part of the Quickbooks contest?,ten
606,What company had a contest to win a free Super Bowl commercial?,QuickBooks.
607,Who won the competition to get a free Super Bowl commercial aired?,Death Wish Coffee
608,What Universal trailer debuted during the Super Bowl?,Jason Bourne
609,What Lionsgate trailer was shown during the Super Bowl?,Gods of Egypt
610,"Along with 10 Cloverfield Lane, what Paramount trailer appeared during the Super Bowl?",Teenage Mutant Ninja Turtles: Out of the Shadows
611,What was the subtitle of the Independence Day movie that had a trailer during the Super Bowl?,Resurgence
612,What film did Lionsgate pay to have the trailer aired during the Super Bowl?,Gods of Egypt
613,"Paramount paid fo, 10 Cloverfield Lane and which other film trailer to be aired during the game?",Teenage Mutant Ninja Turtles: Out of the Shadows
614,Universal Paid for The Secret Life of Pets and which other film trailer?,Jason Bourne
615,"Disney paid for The Jungle Book, Alice Through the Looking Glass, and which other film trailer to be aired during the game?",Captain America: Civil War
616,What famous July Fourth holiday movie did Fox pay to advertise a sequel of during the Super Bowl?,Independence Day
617,What movie company paid to have the next Jason Bourne movie ad shown during the Super Bowl?,Universal
618,What company paid for a Super Bowl 50 ad to show a trailer of X-Men: Apocalypse?,Fox
619,What radio network carried the Super Bowl?,Westwood One
620,Who did play-by-play on Westwood One?,Kevin Harlan
621,Who handled pre-game coverage on Westwood One?,Jim Gray
622,"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason
623,Who shared sideline reporting duties with Mark Malone?,James Lofton
624,How many color analysts were involved with Super Bowl 50?,two
625,Who announced the game play-by-play for Super Bowl 50?,Kevin Harlan
626,Who will carry the game throughout all of North America?,Westwood One
627,Who is the play-by-play announcer for the game?,Kevin Harlan
628,Who covered the halftime coverage?,Jim Gray
629,Who was the announcer for Westwood One's Super Bowl 50 coverage?,Kevin Harlan
630,Who were the Westwood one color analysts?,Boomer Esiason and Dan Fouts
631,Who were the Westwood One sideline announcers?,James Lofton and Mark Malone
632,What did Jim Gray cover?,pre-game and halftime coverage.
633,What area did the Westwood One broadcast cover?,North America
634,What radio station is located at 103.5FM on the dial in Denver?,KRFX
635,Who handled play-by-play for the Denver radio market?,Dave Logan
636,What is the frequency of the radio station WBT in North Carolina?,1110 AM
637,In what city is WBT-FM located?,"Chester, South Carolina"
638,Who did play-by-play for the WBT broadcast?,Mick Mixon
639,Who handled the play-by-play for the Denver radio stations?,Dave Logan
640,Who handled the color commentary for Denver's radio stations?,Ed McCaffrey
641,Which station covered the game for North Carolina?,WBT
642,Who handled the play-by-play for WBT?,Mick Mixon
643,What two radio stations in Denver carried Super Bowl 50?,KOA (850 AM) and KRFX (103.5 FM)
644,What radio station in South Carolina carried the Super Bowl 50 game?,WBT-FM (99.3 FM)
645,What BBC radio station will carry the game in the United Kingdom?,BBC Radio 5
646,"Aside from BBC Radio 5, what radio station will broadcast the game?",5 Live Sports Extra
647,Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?,Darren Fletcher
648,What British TV network will carry the Super Bowl?,BBC
649,"British commentators include, Darren Fletcher, Rocky Boiman and who else?",Greg Brady
650,Who was the Most Valuable Player of Super Bowl II?,Bart Starr
651,What player won the MVP in Super Bowl V?,Chuck Howley
652,Who was the Most Valuable Player of Super Bowl XLI?,Peyton Manning
653,In what year did Harvey Martin die?,2001
654,Who is the present quarterback of the Broncos?,Peyton Manning
655,How many of the prior Super Bowl MVPs appeared together at the pregame show?,39
656,What former MVP was shown in the locker room?,Peyton Manning
657,Which MVP died in 2001?,Harvey Martin
658,How many players have been awarded the Most Valuable Player distinction for the Super Bowl?,43
659,How many former MVP honorees were present for a pregame ceremony?,39
660,Who was the MVP of Super Bowl I and II?,Bart Starr
661,Who was the MVP of Super Bowl XLI?,Peyton Manning
662,Which MVP honoree died in 2001?,Harvey Martin
663,How many Grammys has Lady Gaga won?,Six
664,What did Lady Gaga sing?,the national anthem
665,What award has Marlee Matlin won?,Academy Award
666,What did Marlee Matlin translate?,the national anthem
667,Into what language did Marlee Matlin translate the national anthem?,American Sign Language
668,Who sang the national anthem?,Lady Gaga
669,What actress did the ASL translation for the game?,Marlee Matlin
670,Who did the National Anthem at Super Bowl 50?,Lady Gaga
671,What actor did sign language for the National Anthem at Superbowl 50?,Marlee Matlin
672,Who did the Super Bowl 50 National Anthem?,Lady Gaga
673,How many Grammy Award's does the text say Lady Gaga has won?,Six
674,Who did the sign language of the National Anthem at Super Bowl 50?,Marlee Matlin
675,On what date did the NFL announce that Coldplay would headline the halftime show?,December 3
676,What nationality is the band Coldplay?,British
677,At what Super Bowl did Beyoncé headline the halftime show?,Super Bowl XLVII
678,What was the name of the single that Coldplay and Beyoncé collaborated on?,"""Hymn for the Weekend"""
679,What previous Super Bowl halftime show did Bruno Mars headline?,Super Bowl XLVIII
680,Who lead the halftime show of Super Bowl 50?,Coldplay.
681,What company confirmed that Beyoncé would participate in the Super Bowl 50 halftime show?,Pepsi
682,What song did Coldplay and Beyoncé collaborate on for the Super Bowl 50 halftime show?,"""Hymn for the Weekend"""
683,Who headlined the Super Bowl 50 halftime show?,Coldplay.
684,"On January 7, 2016, it was confirmed that which start would join Coldplay for the halftime show?",Beyoncé
685,Which single did Beyoncé and Coldplay collaborate on?,Hymn for the Weekend
686,What other former halftime show performer joined Coldplay and Beyoncé for the Super Bowl 50 halftime show?,Bruno Mars
687,What team received the opening kickoff?,Denver
688,Who was at the receiving end of a 22-yard pass from Peyton Manning?,Andre Caldwell
689,Who lost 3 yards on a tackle by Shaq Thompson?,Ronnie Hillman
690,Who kicked a field goal for Denver?,Brandon McManus
691,Who ran the ball twice for 20 yards on this drive?,C. J. Anderson
692,How many yards was the pass on the first drive?,18
693,Who tackled Ronnie Hillman for a loss of yardage?,Shaq Thompson
694,Who kicked the field goal for Denver on the first drive of Super Bowl 50?,Brandon McManus
695,This was the first time that the Carolina team faced what in the post season?,a deficit.
696,Which team had the first kickoff?,Denver
697,Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Owen Daniels
698,Which Denver player took the ball to the Panthers 14 yard line?,C. J. Anderson
699,Who scored the first points for Denver?,Brandon McManus
700,What did Carolina face in the opening drive that they had not faced the entire postseason?,a deficit.
701,Which former referee served as an analyst for CBS?,Mike Carey
702,Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton
703,Who stripped the ball from Cam Newton while sacking him on this drive?,Von Miller
704,Which player recovered possession of the ball in the end zone?,Malik Jackson
705,What Super Bowl was the last where a fumble was returned for a touchdown?,Super Bowl XXVIII
706,Who received the pass that was ruled incomplete and confirmed after a challenge?,Jerricho Cotchery
707,What analyst did not agree with the ruling of the incomplete pass?,Mike Carey
708,"Who, according to the text, caused Cam Newton to lose the ball during a tackle?",Von Miller
709,Who received the ball that cam Newton lost during a tackle to make it a Denver touchdown?,Malik Jackson
710,What year was the last time a fumble return touchdown like this occurred?,1993
711,Which retired ref disagreed with the outcome of the challenge of a incomplete pass?,Mike Carey
712,Who sacked Newton a few plays after the challenge?,Von Miller
713,Who recovered the fumble and ran the ball in for a touchdown?,Malik Jackson
714,When is the last time a fumble return touchdown happened in a Super Bowl?,Super Bowl XXVIII
715,Who ran for a Carolina touchdown to make the score 10–7?,Jonathan Stewart
716,Who punted the ball for Carolina?,Brad Nortman
717,How many yards did Brad Nortman's punt travel?,28
718,How many yards did Jordan Norwood return a punt to set the Super Bowl record?,61
719,How many yards was the McManus field goal?,33
720,How many passing yards did Cam Newton get for his 4 of 4 passes?,51
721,Who got a touchdown making the score 10-7?,Jonathan Stewart
722,How much time was left in the quarter when Stewart got the touchdown?,11:28
723,Who got a 61-yard return when players thought he called for a fair catch but did not?,Jordan Norwood
724,How many yards was the field goal that made the score 13-7 in Super Bowl 50?,33
725,Who scored the Panthers first touchdown? ,Jonathan Stewart
726,How did Denver score at the end of the drive?,field goal
727,Who tackled Mike Tolbert and caused a fumble?,Darian Stewart
728,What position does Danny Trevathan play?,linebacker
729,Which Panther tipped a Manning pass to himself and picked it off?,Kony Ealy
730,Who was sacked as the first half clock expired?,Newton
731,Who sacked Cam Newton at the end of the half?,DeMarcus Ware
732,Who fumbled the ball when tackled by Darian Stewart?,Mike Tolbert
733,Who tipped Peyton's pass for an interception?,Kony Ealy
734,How many yards did the interception gain when the ball was tipped away from Manning?,19
735,Who tackled the Carolina Panthers' quarterback just before the end of the first half?,DeMarcus Ware
736,Which fullback fumbled the ball after a Darian Stewart tackle?,Mike Tolbert
737,Who recovered Tolbert's fumble?,Danny Trevathan
738,"Who intercepted a Manning pass, giving the ball back to the Panthers?",Kony Ealy
739,How did the drive end for the Panthers?,punt
740,Who sacked Newton with 11 seconds left in the first half?,DeMarcus Ware
741,Who was on the receiving end of a 45-yard pass from Cam Newton?,Ted Ginn Jr.
742,Who missed a field goal for the Panthers?,Graham Gano
743,How many yards was the missed field goal?,44
744,What kicker was successful on a 33-yard field goal?,McManus
745,Who picked off Cam Newton and subsequently fumbled the ball?,T. J. Ward
746,Who did Newton complete a 45 yard pass to on the opening drive of the second half?,Ted Ginn Jr.
747,What did Gano hit on his 44-yard field goal attempt?,the uprights
748,Which Broncos player intercepted Newton on the Panthers' next set of downs?,T. J. Ward.
749,Who recovered Ward's fumble?,Trevathan
750,Who did Newton get a pass to in the Panther starting plays of Super Bowl 50?,Ted Ginn Jr.
751,What yard line did the Broncos stop the Panthers on in their first offensive drive of Super Bowl 50?,26-yard line
752,Who hit the goal post on a field goal attempt?,Graham Gano
753,Who caught two passes from Manning after the failed Carolina field goal attempt?,Emmanuel Sanders
754,Who recovered a Manning fumble?,Ealy
755,Graham Gano kicked a field goal of how many yards?,39
756,Who caught a 16-yard pass on this drive?,Devin Funchess
757,Who had a 12-yard rush on this drive?,Stewart
758,"Early in the fourth quarter, The Broncos drove to what yard line of the Panthers?",41-yard line.
759,Who knocked the ball out of Manning's hands on the next play?,Ealy
760,Where was the ball recovered?,50-yard line.
761,What did the next three drives result in?,punts.
762,What is the last name of the player who bumped the ball away from Manning in the fourth quarter of Super Bowl 50?,Ealy
763,What yard line was the Broncos on when Manning lost the ball in the fourth quarter?,50-yard line.
764,How many yards was the field goal Gano made to make the score 16-10?,39-yard
765,How many of the following three fourth quarter drives after the field goal makng the score 16-10 ended in punts?,three
766,On what yard line did Carolina begin with 4:51 left in the game?,24
767,Who fumbled the ball on 3rd-and-9?,Newton
768,What Panther defender was called for holding on third down?,Josh Norman
769,What player punched the ball in from the 2?,Anderson
770,Who was the receiver on the successful 2-point conversion?,Bennie Fowler
771,Who stripped the ball from Newton on a 3rd and nine?,Miller
772,Who recovered the strip ball?,wards
773,Which player was criticized for not jumping into the pile to recover the ball?,Newton
774,"Which Panthers player got a penalty, which gave the Broncos a new set of downs?",Josh Norman
775,How much time was left in the game when Denver took the score to 24-10?,3:08
776,What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?,4:51
777,What was the last name of the player who took the ball away from Newton late in the fourth quarter?,Miller
778,What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?,wards
779,How many plays was Denver kept out of the end zone after getting the ball from Newton?,three
780,What is the last name of the player who scored a 2-yard touchdown in the fourth quarter?,Anderson
781,How many solo sacks did Von Miller have in the game?,five
782,How many touchdowns did Manning throw in the game?,zero
783,How many field goals did McManus kick in the game?,four
784,What player played in the Super Bowl after breaking his arm two weeks before?,Thomas Davis
785,How many picks did Cam Newton throw?,one
786,How many interceptions did Manning have at the end of the game?,one
787,How many touchdowns did Manning have at the end of the game?,zero
788,Who was the game's leading rusher?,Anderson
789,Who was the game's top receiver?,Sanders
790,Which player played even though he broke his arm two weeks prior to the Super Bowl?,Thomas Davis
791,What is the last name of the player who was Manning's top receiver for Super Bowl 50?,Sanders
792,What is th elast name of the player who was the Super Bowl 50 winner's leading rusher?,Anderson
793,How many of the four field goal attempts did McManus succeed at during SUper Bowl 50?,all four
794,How many intercpetions did Newton have in Super Bowl 50?,one
795,How many total tackles did Charles Johnson have in Super Bowl 50?,four
796,How many total yards did Denver gain?,194
797,How many first downs did Denver have?,11
798,What team had 244 yards in Super Bowl XXXV?,Baltimore Ravens
799,"Who returned a punt for 61 yards, setting a new Super Bowl record?",Jordan Norwood
800,Who is the only quarterback to win a Super Bowl with two teams?,Manning
801,How many yards did Denver have for Super Bowl 50?,194
802,How many first downs did Denver have for Super Bowl 50?,11
803,Who did the Broncos tie with the most sacks in a Super Bowl?,Chicago Bears
804,Which team did Gary Kubiak play for when he was in the Super Bowl?,Broncos
805,How many first downs did the Panthers have in Super Bowl 50?,21
806,How many first downs did the Broncos have in Super Bowl 50?,11
807,What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The Broncos
808,What team di the Broncos tie a Super Bowl record for in sacks?,Chicago Bears
809,How many teams has Manning won the Super Bowl with?,two
